-110.820906843, 32.2497240621
-110.828472219, 32.2209171888
-110.823774347, 32.2136760602
-110.995007468, 32.2757602715
-110.949801676, 32.254068286
-110.96449833, 32.286527298
-110.982682465, 32.1632923079
-110.90972188, 32.2506149084
-110.988369927, 32.2356134847
-110.971795114, 32.2359094159
-110.909684946, 32.2361915527
-110.992187133, 32.235643828
-110.855698509, 32.235569736
-110.936136976, 32.2575503386
-110.95640582, 32.2225387224
-110.967180124, 32.2359262178
-110.92504224, 32.2669141233
-110.849703331, 32.2481592363
-110.772718313, 32.2142137842
-110.943941017, 32.2519919382
-110.903272393, 32.239867827
-111.03637079, 32.2419390742
-110.77271287, 32.212840937
-110.785334037, 32.1058778771
-110.965478237, 32.2146641995
-110.921646458, 32.1392444443
-110.968670152, 32.2303365502
-110.960969545, 32.2576646238
-110.973697818, 32.1651254392
-110.97207467, 32.2679792872
-110.962189794, 32.2683906115
-111.001003391, 32.1338712258
-110.884121305, 32.2433699107
-110.952328888, 32.2213527674
-110.978025421, 32.2555068631
-110.835745628, 32.0865571442
-110.970583332, 32.2177372312
-110.918178139, 32.2342550997
-110.94344405, 32.164874469
-111.011659979, 32.1779079153
-110.762250261, 32.1413874197
-110.994952079, 32.2357321448
-110.766175524, 32.1407626844
-110.94982329, 32.2498933728
-110.928969869, 32.2503746242
-110.926905559, 32.2486307366
-110.840955342, 32.196623513
-110.993074578, 32.1995591825
-110.952375512, 32.2721177289
-110.857931113, 32.2212740226
-110.772684992, 32.191773293
-110.980665368, 32.1632105052
-110.909684946, 32.2361915527
-110.961075303, 32.2814875146
-110.909664993, 32.2434508071
-110.789742544, 32.2354329002
-110.984493451, 32.2357067116
-110.884016588, 32.2325981259
-110.96965785, 32.2865438591
-110.933399915, 32.1523445067
-110.997253307, 32.235693678
-110.980145455, 32.2065170232
-110.97804307, 32.2502245999
-110.963883456, 32.2047368736
-110.9711724, 32.2962389812
-110.959440206, 32.2213774489
-110.911922082, 32.2597092736
-110.978240873, 32.2855316507
-110.962581368, 32.2359369748
-110.809111743, 32.2208794669
-110.943432127, 32.1521004069
-110.926905559, 32.2486307366
-110.92890697, 32.2504297574
-110.978084568, 32.2521157385
-110.971920421, 32.2503221063
-110.978347871, 32.2973064976
-111.003300986, 32.1338704961
-110.943535793, 32.1924104547
-110.862194418, 32.228847496
-110.978174306, 32.2864751839
-110.840929782, 32.1846804819
-110.875175271, 32.1922876974
-110.798858008, 32.191799099
-110.853845917, 32.2356261622
-110.922491698, 32.267499656
-110.901158717, 32.2361780436
-110.990582384, 32.1338268033
-110.943535793, 32.1924104547
-110.783063966, 32.1917579686
-110.96965785, 32.2865438591
-110.82871724, 32.2076940374
-110.85783131, 32.2388153617
-110.92280873, 32.2343294285
-110.855698509, 32.235569736
-110.978125019, 32.2719513889
-110.926821305, 32.272244031
-110.857924128, 32.2357999611
-110.787651019, 32.2177103697
-110.823779573, 32.2105446779
-110.977925, 32.242747701
-111.011656327, 32.2016166407
-110.922380203, 32.2687492718
-111.045896885, 32.3233185508
-110.892496188, 32.2361550763
-110.942385456, 32.2304213536
-110.981890633, 32.1282217526
-110.961000418, 32.2953308233
-110.899626889, 32.1350769331
-110.986540271, 32.2538679947
-110.823774347, 32.2136760602
-110.959288953, 32.181005447
-110.957894888, 32.2213833681
-110.960631043, 32.221338223
-110.98196126, 32.1339072791
-110.94480012, 32.1924101286
-110.853845917, 32.2356261622
-110.926733825, 32.2503269483
-110.857924128, 32.2357999611
-110.96965785, 32.2865438591
-110.960921406, 32.2632011542
-110.964675437, 32.1632093451
-110.90122888, 32.2506096145
-110.866306586, 32.2216274743
-110.875393746, 32.2506234015
-110.960501998, 32.1485876847
-110.961075669, 32.2793506761
-110.978271662, 32.2891376258
-110.84100753, 32.1920301195
-110.87517253, 32.2216065422
-110.789657885, 32.2063278399
-110.978147367, 32.2792128672
-110.970285102, 32.2359006613
-110.970583332, 32.2177372312
-110.943460441, 32.1486754706
-110.935148425, 32.2228325314
-111.03637079, 32.2419390742
-110.804646908, 32.1899325461
-110.967892574, 32.1357986661
-110.909860805, 32.259734156
-110.939520116, 32.2214132686
-110.971967984, 32.1340869712
-110.78973282, 32.1892955108
-110.914249487, 32.2651182256
-110.988772411, 32.2222325304
-110.98196126, 32.1339072791
-110.984051117, 32.2048716774
-110.946646292, 32.2214131831
-110.864643147, 32.1229137873
-111.001003391, 32.1338712258
-110.966932096, 32.2068839004
-110.946646292, 32.2214131831
-110.961043145, 32.2227144077
-110.950991168, 32.2213848165
-110.91080076, 32.2465035351
-110.978174306, 32.2864751839
-110.857975412, 32.228880837
-110.945302968, 32.1707608781
-110.841000971, 32.2355611753
-110.857924128, 32.2357999611
-110.846768472, 32.2456598756
-110.976447555, 32.2647719649
-110.991202303, 32.1484505103
-110.986358827, 32.2356050911
-110.96340103, 32.2576749192
-110.86651936, 32.1988244983
-110.819584786, 32.2209637955
-110.978075466, 32.2612011025
-110.962163215, 32.250442007
-111.006281348, 32.2396551309
-110.926852292, 32.2791027734
-110.978142471, 32.2891723523
-110.952401847, 32.2704303694
-110.783894853, 32.2354503339
-110.873362076, 32.1996859192
-110.97765195, 32.1368627241
-110.978950391, 32.2066947319
-110.992265113, 32.2721603866
-110.978147367, 32.2792128672
-110.991038669, 32.2198181874
-110.986584191, 32.2720419486
-110.974007273, 32.297072819
-110.933001956, 32.285250424
-110.994899239, 32.2793321628
-111.003185179, 32.1833974355
-110.922350489, 32.2214863687
-110.872952364, 32.2262243132
-110.998864391, 32.1501709804
-110.998798844, 32.1534020223
